pos_error,yaw_error
0.202602,0.0478352
0.20295,0.0478352
0.203297,0.0478351
0.203645,0.0478351
0.203993,0.047835
0.204341,0.047835
0.204688,0.047835
0.205036,0.0478349
0.205384,0.0478349
0.205732,0.0478348
0.20608,0.0478348
0.206427,0.0478347
0.206775,0.0478347
0.207123,0.0478346
0.207471,0.0478346
0.207819,0.0478346
0.208167,0.0478345
0.208514,0.0478345
0.208862,0.0478344
0.20921,0.0478344
0.209558,0.0478343
0.209906,0.0478343
0.210253,0.0478343
0.210601,0.047833
0.210949,0.0478341
0.211297,0.0478341
0.211645,0.0478341
0.211993,0.047834
0.21234,0.047834
0.212688,0.0478339
0.213036,0.0478339
0.213384,0.0478338
0.213732,0.0478338
0.21408,0.0478338
0.214427,0.0478337
0.214775,0.0478337
0.215123,0.0478336
0.215471,0.0478336
0.215819,0.0478335
0.216167,0.0478334
0.216515,0.0478335
0.216862,0.0478334
0.21721,0.0478334
0.217558,0.0478333
0.217906,0.0478333
0.218254,0.0478332
0.218602,0.0478332
0.21895,0.0478332
0.219297,0.0478331
0.219645,0.0478331
0.219993,0.047833
0.220341,0.047833
0.220689,0.0478329
0.221037,0.0478329
0.221385,0.0478329
0.221733,0.0478328
0.22208,0.0478328
0.222428,0.0478327
0.222776,0.0478327
0.223124,0.0478326
0.223472,0.0478326
0.22382,0.0478325
0.224168,0.0478325
0.224516,0.0478325
0.224864,0.0478324
0.225211,0.0478324
0.225559,0.0478323
0.225907,0.0478323
0.226255,0.0478322
0.226603,0.0478322
0.226951,0.0478322
0.227299,0.0478321
0.227647,0.0478321
0.227995,0.047832
0.228343,0.047832
0.22869,0.0478319
0.229038,0.0478319
0.229386,0.0478318
0.229734,0.0478318
0.230082,0.0478318
0.23043,0.0478317
0.230778,0.0478317
0.231126,0.0478316
0.231474,0.0478316
0.231822,0.0478315
0.23217,0.0478315
0.232517,0.0478315
0.232865,0.0478314
0.233213,0.0478314
0.233561,0.0478313
0.233909,0.0478313
0.234257,0.0478312
0.234605,0.0478312
0.234953,0.0478312
0.235301,0.0478311
0.235649,0.0478311
0.235997,0.047831
0.236345,0.047831
0.236693,0.0478309
0.23704,0.0478309
0.237388,0.0478309
0.237736,0.0478308
0.238084,0.0478308
0.238432,0.0478307
0.23878,0.0478307
0.239128,0.0478306
0.239476,0.0478306
0.239824,0.0478306
0.240172,0.0478303
0.24052,0.0478304
0.240868,0.0478304
0.241216,0.0478304
0.241564,0.0478303
0.241912,0.0478303
0.24226,0.0478302
0.242608,0.0478302
0.242955,0.0478302
0.243303,0.0478301
0.243651,0.0478301
0.243999,0.04783
0.244347,0.04783
0.244695,0.0478299
0.245043,0.0478299
0.245391,0.0478298
0.245739,0.0478298
0.246087,0.0478298
0.246435,0.0478297
0.246783,0.0478297
0.247131,0.0478297
0.247479,0.0478296
0.247827,0.0478296
0.248175,0.0478295
0.248523,0.0478295
0.248871,0.0478294
0.249219,0.0478294
0.249567,0.0478294
0.249915,0.0478293
0.250263,0.0478293
0.250611,0.0478292
0.250959,0.0478292
0.251306,0.0478291
0.251654,0.0478291
0.252002,0.0478291
0.25235,0.047829
0.252698,0.047829
0.253046,0.0478289
0.253394,0.0478289
0.253742,0.0478288
0.25409,0.0478288
0.254437,0.0478298
0.254779,0.0478315
0.255115,0.047833
0.255445,0.0478343
0.255767,0.0478352
0.256081,0.047836
0.256387,0.0478365
0.256684,0.0478369
0.256974,0.0478372
0.257256,0.0478375
0.257529,0.0478377
0.257794,0.0478379
0.258051,0.0478381
0.2583,0.0478382
0.25854,0.0478384
0.258772,0.0478385
0.258996,0.0478387
0.259211,0.0478388
0.259419,0.0478389
0.259618,0.047839
0.259808,0.0478392
0.259991,0.0478393
0.260165,0.0478394
0.260331,0.0478395
0.260489,0.0478397
0.260638,0.0478398
0.26078,0.0478399
0.260913,0.0478401
0.261037,0.0478402
0.261154,0.0478403
0.261262,0.0478404
0.261362,0.0478406
0.261453,0.0478407
0.261537,0.0478408
0.261612,0.0478409
0.261679,0.0478411
0.261737,0.0478412
0.261787,0.0478413
0.261829,0.0478414
0.261863,0.0478416
0.261889,0.0478417
0.261906,0.0478418
0.261915,0.0478419
0.261916,0.0478431
0.261917,0.0478438
0.261917,0.0478438
0.261917,0.0478438
0.261917,0.0478435
0.261917,0.0478419
0.261917,0.0478391
0.261919,0.0478025
0.26192,0.0477488
0.261922,0.0476683
0.261924,0.0475802
0.261926,0.0474881
0.261927,0.0473936
0.261929,0.0472975
0.261931,0.0472004
0.261932,0.0471026
0.261933,0.0470044
0.261934,0.0469057
0.261935,0.0468068
0.261936,0.0467075
0.261937,0.0466075
0.261938,0.046507
0.26194,0.0464059
0.261941,0.0463045
0.261942,0.0462027
0.261943,0.0461009
0.261944,0.0459991
0.261945,0.0458975
0.261946,0.045751
0.261954,0.0456278
0.261956,0.0455188
0.261957,0.0454094
0.261958,0.0453
0.26196,0.0451905
0.261962,0.0450802
0.261964,0.0449774
0.261966,0.0448825
0.26197,0.0447865
0.261973,0.0446872
0.261977,0.0445826
0.261979,0.0444128
0.261983,0.0442312
0.261988,0.0440945
0.261996,0.044059
0.262008,0.0441048
0.262026,0.0442601
0.262051,0.0445316
0.262081,0.0448817
0.262114,0.0452917
0.262152,0.0457487
0.26219,0.0462364
0.262237,0.0467437
0.262287,0.047246
0.262342,0.0477697
0.262398,0.0483021
0.262444,0.0486339
0.26247,0.0486318
0.262472,0.0482711
0.26245,0.0475935
0.262406,0.0466901
0.262355,0.0457208
0.262302,0.0447655
0.262249,0.0438507
0.262199,0.0429836
0.262151,0.0421602
0.262104,0.0413725
0.262059,0.0406146
